Hum,Temp
46.40,25.50
46.40,25.50
46.50,25.60
46.50,25.50
46.50,25.50
46.50,25.60
46.60,25.50
46.60,25.60
46.60,25.50
46.60,25.50
46.60,25.50
46.60,25.50
46.70,25.50
46.70,25.50
46.70,25.50
46.80,25.50
46.80,25.50
46.80,25.50
47.00,25.50
47.10,25.50
47.10,25.50
47.20,25.50
47.20,25.50
47.20,25.60
47.30,25.50
47.30,25.50
47.40,25.60
47.40,25.50
47.40,25.60
47.70,25.60
47.80,25.60
47.90,25.60
48.00,25.50
48.00,25.60
48.00,25.60
47.90,25.60
47.90,25.60
47.90,25.60
47.90,25.60
48.00,25.70
48.00,25.50
48.00,25.50
48.00,25.50
48.00,25.60
48.00,25.70
48.00,25.60
48.10,25.60
48.20,25.60
48.20,25.60
48.20,25.60
48.20,25.70
48.10,25.60
48.10,25.60
48.10,25.60
48.10,25.70
48.10,25.60
48.10,25.70
48.10,25.60
48.10,25.60
48.10,25.60
48.10,25.70
48.00,25.60
48.00,25.60
Hum,Temp
44.90,25.50
44.90,25.50
44.90,25.50
44.90,25.50
44.80,25.50
44.80,25.50
44.90,25.40
44.80,25.50
44.80,25.50
44.80,25.50
44.70,25.50
44.80,25.40
44.70,25.50
44.60,25.50
44.70,25.40
44.60,25.50
44.60,25.50
44.60,25.40
44.50,25.40
44.50,25.40
44.50,25.40
44.30,25.50
44.40,25.40
44.30,25.50
44.30,25.40
44.30,25.40
44.20,25.50
44.20,25.40
44.20,25.40
44.10,25.50
44.20,25.40
44.40,25.40
44.40,25.50
44.40,25.50
44.40,25.40
44.30,25.50
44.20,25.50
44.20,25.50
44.20,25.50
44.20,25.50
44.10,25.50
44.10,25.50
44.10,25.50
44.30,25.40
44.20,25.50
44.10,25.50
44.20,25.40
44.30,25.40
44.20,25.50
44.30,25.50
44.30,25.50
44.30,25.50
44.30,25.50
44.20,25.50
44.20,25.50
44.20,25.50
44.20,25.50
44.10,25.50
44.10,25.50
44.00,25.50
44.00,25.50
44.10,25.50
44.20,25.50
44.20,25.50
44.20,25.50
44.10,25.50
44.10,25.50
44.20,25.50
44.10,25.60
44.20,25.50
44.20,25.50
44.20,25.50
44.20,25.50
44.20,25.50
44.30,25.60
44.50,25.50
44.60,25.60
44.50,25.60
44.40,25.60
44.40,25.60
44.30,25.60
44.30,25.60
44.30,25.60
44.30,25.60
44.30,25.60
44.30,25.60
44.30,25.70
44.30,25.60
44.20,25.60
44.20,25.60
44.20,25.60
44.40,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.70,25.70
44.80,25.80
44.90,25.80
44.90,25.80
44.90,25.80
44.90,25.80
44.90,25.80
44.80,25.80
44.80,25.80
44.80,25.80
44.80,25.80
44.80,25.80
44.80,25.80
44.80,25.80
44.80,25.80
44.80,25.80
45.70,25.80
46.00,25.80
46.00,25.80
45.90,25.90
45.80,25.90
45.70,25.90
46.00,25.90
46.30,25.90
46.50,25.90
46.60,25.90
46.60,25.90
46.50,25.90
46.40,25.90
46.30,25.90
46.20,25.90
46.20,25.90
46.10,25.90
46.10,25.90
46.00,25.90
46.00,25.90
46.00,25.90
45.90,25.90
45.90,25.90
46.00,25.90
46.00,25.90
46.00,25.90
45.90,26.00
45.90,26.00
45.90,25.90
45.80,25.90
45.70,25.90
45.70,25.90
45.50,25.90
45.50,25.90
45.40,25.90
45.30,25.90
45.20,25.90
45.20,25.90
45.10,25.90
45.00,25.90
44.90,25.90
44.80,25.90
44.80,25.90
44.80,25.90
44.80,25.90
44.80,25.90
44.70,25.90
44.70,25.90
44.80,25.90
44.80,25.90
44.80,25.90
44.90,25.90
44.90,25.90
44.90,25.90
44.90,25.80
44.90,25.90
44.90,25.90
45.00,25.90
45.10,25.80
45.00,25.80
45.00,25.80
45.00,25.80
45.00,25.80
45.10,25.80
45.30,25.70
45.30,25.70
45.20,25.70
45.10,25.80
45.10,25.70
45.20,25.70
45.20,25.70
45.10,25.80
45.30,25.70
45.30,25.70
45.30,25.70
45.30,25.70
45.30,25.70
45.30,25.70
45.30,25.60
45.20,25.60
45.20,25.60
45.30,25.60
45.30,25.60
45.40,25.60
45.40,25.60
45.40,25.60
45.40,25.60
45.30,25.60
45.20,25.60
45.20,25.60
45.20,25.50
45.20,25.50
45.30,25.60
45.50,25.50
45.50,25.50
45.50,25.60
45.40,25.60
45.40,25.60
45.30,25.50
45.40,25.50
45.30,25.50
45.30,25.60
45.40,25.60
45.40,25.60
45.40,25.50
45.20,25.50
45.10,25.60
45.00,25.50
45.00,25.60
45.00,25.50
45.00,25.60
45.00,25.60
45.10,25.60
45.20,25.60
45.20,25.60
45.20,25.60
45.10,25.60
45.00,25.60
44.90,25.60
44.90,25.70
44.90,25.70
44.80,25.60
44.80,25.60
44.80,25.60
44.80,25.60
44.70,25.60
44.70,25.60
44.70,25.60
44.60,25.70
44.60,25.60
44.60,25.70
44.60,25.60
44.50,25.60
44.50,25.70
44.50,25.60
44.50,25.70
44.50,25.60
44.50,25.70
44.40,25.70
44.30,25.70
44.30,25.70
44.20,25.70
44.20,25.70
44.20,25.70
44.20,25.60
44.20,25.70
44.10,25.70
44.00,25.80
44.10,25.70
44.00,25.70
44.00,25.70
44.10,25.70
44.10,25.70
44.10,25.70
44.10,25.70
44.00,25.70
44.10,25.70
44.00,25.80
44.00,25.80
44.10,25.70
44.10,25.70
44.10,25.70
44.10,25.70
44.10,25.80
44.20,25.70
44.20,25.70
44.10,25.80
44.10,25.80
44.20,25.70
44.10,25.80
44.10,25.80
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
43.90,25.80
44.00,25.80
44.00,25.70
44.00,25.80
43.90,25.80
43.90,25.80
43.80,25.80
43.90,25.70
43.90,25.70
44.00,25.80
44.00,25.80
44.20,25.80
44.50,25.70
44.50,25.70
44.40,25.80
44.40,25.80
44.40,25.80
44.40,25.70
44.30,25.80
44.30,25.80
44.30,25.70
44.20,25.80
44.30,25.70
44.10,25.80
44.30,25.70
44.20,25.80
44.30,25.70
44.30,25.70
44.20,25.80
44.10,25.80
44.20,25.80
44.10,25.80
44.20,25.70
44.10,25.80
44.10,25.80
44.10,25.80
44.10,25.80
44.20,25.70
44.20,25.90
44.20,25.80
44.30,25.80
44.30,25.80
44.30,25.80
44.40,25.80
44.30,25.80
44.30,25.90
44.40,25.80
44.50,25.80
44.50,25.80
44.50,25.80
44.60,25.80
44.50,25.80
44.50,25.90
44.50,25.80
44.60,25.90
44.50,25.80
44.50,25.80
44.50,25.80
44.50,25.80
44.60,25.80
44.60,25.90
44.50,25.80
44.60,25.80
44.60,25.80
44.60,25.80
44.60,25.80
44.50,25.80
44.60,25.80
44.60,25.80
44.60,25.80
44.60,25.80
44.60,25.80
44.60,25.80
44.60,25.80
44.60,25.90
44.70,25.80
44.70,25.80
44.90,25.80
44.90,25.80
44.80,25.80
44.80,25.80
44.80,25.90
44.70,25.80
44.70,25.80
44.70,25.80
44.70,25.80
44.70,25.80
44.70,25.80
44.70,25.80
44.70,25.80
44.70,25.80
44.60,25.80
44.60,25.80
44.60,25.80
44.60,25.90
44.60,25.80
44.60,25.80
44.70,25.80
44.70,25.80
44.60,25.80
44.50,25.80
44.50,25.80
44.40,25.80
44.30,25.80
44.30,25.80
44.30,25.80
44.30,25.80
44.20,25.80
44.10,25.80
44.20,25.80
44.10,25.80
44.20,25.80
44.20,25.80
44.20,25.80
44.10,25.80
44.20,25.80
44.10,25.80
44.10,25.80
44.20,25.80
44.10,25.80
44.10,25.80
44.10,25.80
44.00,25.80
44.00,25.80
44.00,25.80
43.90,25.80
43.90,25.80
43.90,25.80
44.00,25.80
43.90,25.80
44.00,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.80,25.80
43.70,25.80
43.70,25.80
43.60,25.80
43.70,25.70
43.60,25.80
43.60,25.70
43.60,25.70
43.60,25.70
43.50,25.70
43.50,25.70
43.50,25.70
43.50,25.70
43.40,25.80
43.50,25.70
43.60,25.70
43.60,25.70
43.50,25.80
43.60,25.70
43.60,25.70
43.60,25.70
43.70,25.70
43.80,25.70
43.80,25.70
43.80,25.70
43.70,25.70
43.70,25.70
43.70,25.70
43.70,25.70
43.70,25.70
43.60,25.80
43.70,25.70
43.70,25.70
43.60,25.70
43.60,25.70
43.60,25.70
43.50,25.80
43.60,25.70
43.70,25.70
43.80,25.70
44.00,25.70
44.10,25.70
44.10,25.70
44.00,25.70
44.00,25.70
43.90,25.60
43.90,25.70
43.90,25.70
43.90,25.70
43.80,25.60
43.80,25.70
43.80,25.70
43.90,25.70
44.00,25.70
43.90,25.60
43.80,25.60
43.80,25.60
43.80,25.60
43.80,25.70
43.70,25.60
43.70,25.70
43.70,25.60
43.60,25.70
43.60,25.60
43.60,25.60
43.60,25.60
43.60,25.60
43.70,25.70
43.70,25.60
43.70,25.60
43.70,25.60
43.70,25.60
43.60,25.60
43.60,25.60
43.60,25.60
43.60,25.60
43.50,25.60
43.50,25.60
43.50,25.50
43.60,25.60
43.70,25.50
43.70,25.50
43.60,25.50
43.70,25.50
43.60,25.50
43.60,25.50
43.60,25.50
43.60,25.50
43.80,25.40
43.60,25.50
43.70,25.50
43.80,25.40
43.70,25.50
43.80,25.40
43.80,25.40
43.80,25.40
43.90,25.40
43.90,25.40
44.00,25.40
44.00,25.30
44.00,25.40
44.00,25.40
44.00,25.30
44.10,25.30
44.10,25.40
44.20,25.40
44.20,25.30
44.20,25.30
44.30,25.40
44.30,25.30
44.40,25.30
44.40,25.30
44.50,25.30
44.50,25.30
44.60,25.30
44.60,25.30
44.60,25.30
44.70,25.30
44.70,25.30
44.80,25.30
44.80,25.40
44.80,25.40
44.80,25.30
44.80,25.30
44.80,25.40
44.80,25.30
44.80,25.40
44.80,25.40
44.80,25.40
44.80,25.40
44.70,25.50
44.70,25.50
44.70,25.50
44.80,25.50
44.80,25.50
44.80,25.50
44.90,25.40
44.80,25.50
44.80,25.50
44.80,25.50
44.80,25.50
44.80,25.50
44.80,25.50
44.80,25.50
44.80,25.50
44.70,25.50
44.70,25.50
44.70,25.50
44.70,25.50
44.70,25.50
44.80,25.50
44.80,25.50
44.90,25.50
45.00,25.50
45.00,25.50
45.00,25.50
45.00,25.50
45.00,25.50
45.00,25.60
45.00,25.50
45.00,25.60
44.90,25.60
44.90,25.60
44.80,25.60
44.80,25.60
44.80,25.60
44.70,25.60
44.70,25.60
44.70,25.60
44.70,25.60
44.70,25.60
44.70,25.70
44.70,25.60
44.60,25.60
44.60,25.70
44.50,25.60
44.50,25.70
44.50,25.60
44.50,25.60
44.50,25.60
44.60,25.60
44.70,25.60
44.70,25.60
44.60,25.60
44.60,25.70
44.60,25.60
44.60,25.60
44.60,25.60
44.60,25.60
44.60,25.60
44.60,25.60
44.70,25.60
44.70,25.60
44.70,25.60
44.70,25.70
44.70,25.60
44.70,25.60
44.80,25.60
44.80,25.60
44.70,25.60
44.70,25.60
44.70,25.60
44.80,25.60
44.80,25.60
44.80,25.60
44.80,25.60
44.70,25.60
44.70,25.60
44.70,25.60
44.80,25.60
44.90,25.60
44.90,25.60
44.90,25.70
44.90,25.60
44.80,25.60
44.80,25.70
44.70,25.70
44.70,25.60
44.70,25.60
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.70,25.60
44.60,25.60
44.60,25.60
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.60
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.60,25.70
44.50,25.70
44.50,25.70
44.50,25.70
44.40,25.80
44.40,25.80
44.40,25.70
44.40,25.70
44.40,25.70
44.30,25.70
44.30,25.70
44.30,25.70
44.20,25.70
44.20,25.70
44.20,25.70
44.10,25.70
44.10,25.70
44.10,25.70
44.10,25.70
44.10,25.70
44.10,25.70
44.00,25.80
44.00,25.80
44.20,25.70
44.20,25.70
44.10,25.80
44.10,25.80
44.20,25.70
44.10,25.80
44.10,25.80
44.10,25.70
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
44.00,25.80
44.00,25.80
44.00,25.80
44.00,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.80,25.80
43.80,25.80
43.80,25.80
43.80,25.80
43.70,25.80
43.80,25.80
43.70,25.80
43.70,25.80
43.80,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.80,25.70
43.80,25.80
43.80,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
43.90,25.80
44.00,25.70
43.80,25.80
43.80,25.80
43.80,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.80,25.70
43.80,25.70
43.70,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.80,25.70
43.70,25.80
43.80,25.70
43.70,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.70,25.80
43.80,25.70
43.60,25.80
43.60,25.80
43.50,25.80
43.60,25.80
43.50,25.80
43.50,25.80
43.50,25.80
43.50,25.80
43.60,25.80
43.50,25.80
43.60,25.80
43.60,25.80
43.60,25.80
43.50,25.80
43.60,25.80
43.60,25.90
43.60,25.80
43.60,25.80
43.50,25.90
43.50,25.80
43.50,25.90
43.40,25.80
43.40,25.80
43.30,25.90
43.30,25.80
43.30,25.80
43.30,25.80
43.30,25.80
43.30,25.80
43.30,25.80
43.20,25.80
43.30,25.90
43.20,25.80
43.20,25.80
43.30,25.80
43.20,25.80
43.20,25.80
43.20,25.80
43.10,25.80
43.10,25.80
43.00,25.80
43.00,25.80
43.00,25.80
43.10,25.70
43.10,25.80
43.10,25.80
43.10,25.80
43.20,25.70
43.20,25.70
43.00,25.80
43.10,25.70
43.00,25.80
43.10,25.70
43.10,25.70
43.00,25.70
43.10,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.60
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.10,25.70
43.00,25.70
43.00,25.70
43.00,25.70
43.00,25.60
43.00,25.70
42.90,25.70
42.90,25.60
42.90,25.70
42.90,25.60
43.00,25.70
42.90,25.60
42.90,25.60
42.90,25.60
42.80,25.60
42.80,25.60
42.90,25.60
42.80,25.60
42.90,25.60
42.90,25.60
42.90,25.50
42.80,25.70
42.80,25.60
42.80,25.50
42.80,25.60
42.80,25.50
42.90,25.50
42.90,25.60
43.00,25.50
43.00,25.60
43.00,25.60
43.00,25.60
43.00,25.60
43.00,25.60
43.00,25.50
42.90,25.60
42.90,25.60
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.70,25.50
42.70,25.50
42.70,25.50
42.70,25.50
42.70,25.50
42.80,25.50
42.80,25.50
42.90,25.50
42.90,25.50
42.90,25.50
42.90,25.50
42.90,25.50
42.90,25.50
42.80,25.50
42.90,25.50
42.80,25.50
42.80,25.50
42.90,25.40
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.80,25.50
42.70,25.50
42.80,25.40
42.80,25.40
42.70,25.50
42.80,25.40
42.60,25.50
42.80,25.40
42.70,25.50
42.80,25.40
42.80,25.40
42.80,25.40
42.80,25.40
42.80,25.40
42.80,25.40
42.90,25.40
42.90,25.40
42.90,25.40
42.90,25.40
42.90,25.40
42.90,25.40
42.80,25.50
42.90,25.40
42.90,25.40
42.90,25.40
42.80,25.50
43.00,25.40
42.90,25.50
43.00,25.40
43.00,25.40
43.00,25.40
42.90,25.50
43.00,25.40
42.90,25.50
43.00,25.40
42.90,25.50
43.00,25.50
43.00,25.50
43.00,25.50
43.00,25.50
43.10,25.50
43.30,25.40
43.20,25.50
43.50,25.50
43.70,25.50
43.80,25.50
43.90,25.50
44.00,25.50
44.00,25.50
44.00,25.50
43.80,25.50
43.70,25.50
43.70,25.50
43.60,25.50
43.60,25.50
43.50,25.50
43.60,25.50
43.70,25.50
43.60,25.50
43.60,25.50
43.50,25.50
43.50,25.50
43.50,25.50
43.50,25.50
43.40,25.50
43.40,25.50
43.40,25.50
43.40,25.50
43.50,25.40
43.40,25.50
43.40,25.50
43.40,25.50
43.40,25.50
43.40,25.50
43.40,25.50
43.40,25.50
43.40,25.50
43.60,25.40
43.50,25.50
43.50,25.50
43.60,25.50
43.60,25.50
43.50,25.50
43.50,25.50
43.50,25.50
43.50,25.50
43.50,25.50
43.50,25.50
43.70,25.40
43.70,25.50
43.80,25.50
43.90,25.50
44.00,25.50
44.00,25.50
44.00,25.50
44.00,25.50
44.00,25.50
44.00,25.50
43.90,25.50
43.90,25.50
43.80,25.50
43.80,25.50
43.80,25.50
43.80,25.50
43.80,25.50
43.80,25.50
43.90,25.50
43.90,25.50
44.00,25.50
43.90,25.50
43.90,25.50
44.00,25.60
44.00,25.50
43.90,25.50
44.00,25.60
43.90,25.50
43.90,25.60
44.00,25.50
43.90,25.60
43.80,25.60
43.80,25.60
43.60,25.50
Hum,Temp
45.40,25.90
45.40,25.90
45.50,25.90
45.40,25.90
45.30,25.80
45.20,25.90
45.20,25.90
45.10,25.90
45.20,25.90
45.10,25.90
45.00,25.80
45.00,25.90
44.90,25.80
44.80,25.80
44.80,25.80
44.70,25.80
44.70,25.80
44.80,25.80
44.80,25.70
44.70,25.80
44.80,25.70
44.70,25.70
44.70,25.70
44.70,25.70
44.70,25.70
44.70,25.70
44.60,25.70
44.50,25.70
44.50,25.60
